Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
24,0,-2270.96,1369.12,10821.2,-2.04351,-9.24509,11.1089,3.18E-05,2.85E-06,-6.30E-06,-4.97272,7.15806,68.8471,174.335,2431.8,20219.6
24,1,-2061.93,1394.26,10887.5,-1.96768,-11.0107,11.0993,3.17E-05,2.65E-06,-6.19E-06,-4.94617,7.11963,68.9223,-467.533,1814.24,19175.2
24,2,-1955.14,1386.4,10898.2,-1.80063,-12.6556,10.4025,3.15E-05,2.16E-06,-5.93E-06,-4.91541,7.07579,68.9971,-954.219,722.817,17994.5
24,3,-1984.78,1389.77,10889.7,-1.36575,-13.8322,9.49699,3.13E-05,1.57E-06,-5.61E-06,-4.88054,7.02877,69.0688,-557.749,1459.13,18775.6
24,4,-2002.85,1461.57,10841.3,-0.697161,-14.5637,8.58405,3.11E-05,1.07E-06,-5.37E-06,-4.84169,6.98065,69.1357,-574.537,467.849,20117.6
25,0,-1948.63,1410.53,10811.9,-0.22121,-15.2539,7.85853,3.10E-05,1.25E-06,-5.67E-06,-4.79902,6.9314,69.1904,0,358.449,20365.2
25,1,-1871.83,1379.87,10711.5,0.714638,-16.1392,7.32455,3.10E-05,1.65E-06,-6.17E-06,-4.75006,6.88126,69.2373,-103.658,1327.45,19465.3
25,2,-1835.63,1407.31,10642.3,1.68451,-17.1077,7.27783,3.09E-05,2.06E-06,-6.67E-06,-4.6953,6.83009,69.283,-1570.45,1035.8,19796.7
25,3,-1750.18,1407.75,10484.1,2.62927,-17.3333,7.1441,3.14E-05,2.11E-06,-6.70E-06,-4.62478,6.79361,69.3334,-814.367,1427.61,20278.5
25,4,-1686.72,1367.18,10304,3.45146,-17.3245,7.15873,3.21E-05,1.97E-06,-6.49E-06,-4.54581,6.76563,69.3874,-133.764,825.248,19656.5
26,0,-1634.23,1341.8,10191.9,4.14155,-16.9648,7.1151,3.30E-05,1.79E-06,-6.22E-06,-4.46418,6.74158,69.4422,-1442.32,141.602,19591.7
26,1,-1564.86,1362.6,10151.3,4.83757,-16.2078,7.13029,3.33E-05,1.69E-06,-6.13E-06,-4.38112,6.72112,69.4978,-1878.61,431.974,19726.6
26,2,-1477.52,1388.25,10124.5,5.76184,-14.8688,7.13165,3.29E-05,1.70E-06,-6.33E-06,-4.29711,6.70661,69.5539,-541.398,903.788,19637.3
26,3,-1404.52,1378.05,10083.8,6.75985,-12.7843,6.80165,3.23E-05,1.75E-06,-6.60E-06,-4.21446,6.70033,69.6086,-726.353,871.313,19862.6
26,4,-1402.66,1393.91,10059,6.96773,-11.0815,7.04002,3.18E-05,1.80E-06,-6.84E-06,-4.13513,6.70071,69.6636,36.8012,2167.06,17303.4
27,0,-1308.04,1383.98,9985.34,6.95628,-9.41986,7.61154,3.19E-05,1.88E-06,-6.86E-06,-4.05896,6.70541,69.7184,-870.345,201.603,19221.3
27,1,-1229.91,1455.15,9922.06,6.69354,-7.53721,7.95469,3.22E-05,1.97E-06,-6.82E-06,-3.98671,6.71642,69.7733,-87.0345,524.124,19574.1
27,2,-1166.67,1587.44,9828.3,6.21432,-5.80977,8.08134,3.24E-05,2.06E-06,-6.77E-06,-3.91749,6.73297,69.8284,392.939,2035.73,18787.8
27,3,-1127.5,1542.34,9792.57,5.84496,-4.4881,8.18063,3.24E-05,2.01E-06,-6.95E-06,-3.85365,6.75163,69.8856,-269.265,557.888,18589.2
27,4,-985.773,1583.74,9703.73,4.84286,-2.9367,8.52327,3.23E-05,1.89E-06,-7.24E-06,-3.79488,6.77145,69.946,379.177,2116.36,17985.9
28,0,-917.623,1706.38,9662.81,3.48422,-1.37808,8.5419,3.22E-05,1.75E-06,-7.56E-06,-3.742,6.7939,70.0069,532.771,2503.86,18321.4
28,1,-974.626,1774.32,9625.4,2.27149,-0.353837,8.28774,3.21E-05,1.57E-06,-7.82E-06,-3.69553,6.81859,70.0669,213.429,911.307,19107.4
28,2,-1023.82,1760.13,9530.83,1.43543,0.415739,8.13994,3.19E-05,1.32E-06,-8.02E-06,-3.65483,6.84481,70.1254,411.178,203.833,19213
28,3,-1001.43,1721.6,9459.52,0.819873,1.64454,7.80107,3.18E-05,1.05E-06,-8.20E-06,-3.61985,6.87292,70.1803,272.625,-53.1228,19315.1
28,4,-993.803,1614.6,9338.31,-0.226432,2.67214,6.75079,3.17E-05,8.28E-07,-8.38E-06,-3.59309,6.90067,70.2299,312.288,0.134051,19314.1
29,0,-1079.9,1516.77,9385.57,-1.16767,3.25779,5.44885,3.17E-05,1.04E-06,-8.48E-06,-3.57399,6.92803,70.2741,12.788,2391.87,18694.9
29,1,-1035.27,1482.82,9317.32,-2.32045,3.88926,4.85092,3.18E-05,1.35E-06,-8.57E-06,-3.56109,6.95345,70.3107,431.815,3098.88,19553.1
29,2,-989.668,1532.69,9236.53,-3.28347,4.10292,3.62585,3.19E-05,1.67E-06,-8.66E-06,-3.55052,6.97704,70.3405,309.417,1828.37,18651.4
29,3,-1107.8,1392.43,9199.44,-3.89407,4.42976,1.89593,3.19E-05,1.69E-06,-8.67E-06,-3.54764,7.00051,70.3625,863.001,1343.3,18467.1
